,frd,cpf,npt,png,target,target_norad,np_snpi,wavelength_nm,config_laser,config_detector,config_timing,total_returns,fr_observations,number_normal_points,observations_per_normal_point,signal_rate,standard_error_mm,standard_error_ps,fullrate_rms_mm,fullrate_rms_ps,normal_point_rms_mm,normal_point_rms_ps,normal_point_rms_ps_without_cal,SNR,elevation_start,elevation_max,elevation_min,elevation_end,azimuth_start,azimuth_middle,azimuth_end,distance_start,distance_middle,distance_end,distance_min,distance_max,timebias,rangebias,temperature,humidity,pressure,comment,poly_applied,error,raw
20250519_0806_starlette_0800,7817_starlette_crd_20250519_0806_00.fr2,20250519_0806_starlette.cpf,7817_starlette_crd_20250519_0806_00.np2,7817_starlette_crd_20250519_0806_00.png,starlette,7646,30,1064.0,las2,det2,tim1,26546,12824,9,1424,4.746666666666666,0.339594383521929,2.265529865477334,7.895953399244743,52.67613102691693,0.5115536572110221,3.412718656258005,0.026401376744744003,0.48,56.74252648628762,80.62040586322135,30.899914248382572,30.899914248382572,113.1185199900759,212.26520356415483,311.41188713823374,1091.925467218322,1304.5690924915878,1517.2127177648536,937.476200356691,1517.2127177648536,-0.032551169180749004,-2.6257503406745233,13.56714285714287,64.25357142857143,911.115,Passed.,False,,
20250519_0728_hy2d_0800,7817_hy2d_crd_20250519_0728_00.fr2,20250519_0728_hy2d.cpf,7817_hy2d_crd_20250519_0728_00.np2,7817_hy2d_crd_20250519_0728_00.png,hy2d,48621,30,1064.0,las2,det2,tim1,8122,3178,4,794,2.646666666666666,0.29384179660742005,1.960301460335074,5.658993674470882,37.75274209513891,0.678620881561223,4.527271206810837,-2.210558348029117,0.39,31.903093207884055,33.440300598073804,31.903093207884055,32.58630765367509,210.67366064460953,226.13903364582472,241.6044066470399,1585.05865843973,1573.9376114234574,1562.8165644071848,1539.0229540116609,1585.05865843973,-2.722863804626437,-3.895681488270791,12.162307692307763,73.75384615384615,911.185769230769,Passed.,False,,
20250519_0727_ajisai_0800,7817_ajisai_crd_20250519_0727_00.fr2,20250519_0727_ajisai.cpf,7817_ajisai_crd_20250519_0727_00.np2,7817_ajisai_crd_20250519_0727_00.png,ajisai,16908,30,1064.0,las2,det2,tim1,19203,11447,7,1635,5.45,0.638656963333165,4.260660642324534,22.407091929853813,149.48402691207005,1.046186006620566,6.97940177414714,14.537539907353814,0.6000000000000001,35.52946904045262,54.794142792573936,35.52946904045262,54.794142792573936,102.41863124515424,122.84981262785443,143.28099401055462,2218.7314158029517,1987.3483116540983,1755.965207505245,1755.965207505245,2218.7314158029517,-0.123603162380178,-3.60638665221219,12.027647058823504,75.11176470588236,911.2561764705882,Passed.,False,,
20250519_1632_larets_0800,7817_larets_crd_20250519_1632_00.fr2,20250519_1632_larets.cpf,7817_larets_crd_20250519_1632_00.np2,7817_larets_crd_20250519_1632_00.png,larets,27944,30,1064.0,las2,det2,tim1,16726,1053,7,150,0.5,0.523587756766427,3.493001526852468,5.395125376984173,35.992402297086294,0.34271878081440105,2.286373600595393,-1.200308699015826,0.06,20.58861633905267,50.28402757622412,16.19544024745576,16.19544024745576,176.2387800869125,106.04178945315469,35.844798819396885,1526.7068553343518,1623.4387518499834,1720.1706483656149,855.5116019591571,1720.1706483656149,1.693353024992109,-2.097849217853804,17.05757575757582,42.6030303030303,911.8365151515153,Passed.,False,,
20250519_0806_lageos2_0800,7817_lageos2_crd_20250519_0806_00.fr2,20250519_0806_lageos2.cpf,7817_lageos2_crd_20250519_0806_00.np2,7817_lageos2_crd_20250519_0806_00.png,lageos2,22195,120,1064.0,las2,det2,tim1,23339,583,9,64,0.053333333333333004,0.712486104172756,4.753195653592839,5.094820710338675,33.988985208818534,0.261201398719493,1.742548164567194,-2.7747313121613253,0.02,18.42513686451759,24.137406520502633,18.42513686451759,19.726156618336127,107.2694940744619,78.76173452949551,50.253974984529115,8609.557209490393,8599.29647867574,8589.03574786109,8190.603755126961,8609.557209490393,0.19927432048729102,-0.318411502769926,13.517388059701545,64.3141791044776,911.1122388059703,Passed.,False,,
20250519_0849_cryosat2_0800,7817_cryosat2_crd_20250519_0849_00.fr2,20250519_0849_cryosat2.cpf,7817_cryosat2_crd_20250519_0849_00.np2,7817_cryosat2_crd_20250519_0849_00.png,cryosat2,36508,15,1064.0,las2,det2,tim1,20264,10649,15,709,4.726666666666667,0.24859010223145803,1.658414650521053,5.391872713458097,35.970702861765105,0.148606321576946,0.9913946639507931,-2.477679309041902,0.53,69.11728096174622,69.11728096174622,15.427921272984166,15.427921272984166,71.54901791499427,43.575560039544996,15.602102164095719,768.106958978182,1309.3431713798439,1850.5793837815056,768.106958978182,1850.5793837815056,-1.350852008279132,0.014309372149559001,14.410869565217354,59.839130434782604,911.4445652173912,Passed.,True,,
20250519_0720_paz_0800,7817_paz_crd_20250519_0720_00.fr2,20250519_0720_paz.cpf,7817_paz_crd_20250519_0720_00.np2,7817_paz_crd_20250519_0720_00.png,paz,43215,5,1064.0,las2,det2,tim1,11575,6556,29,226,4.52,0.46065766298986005,3.073177131026164,4.665609292943322,31.125594846974582,0.423713379163335,2.826711398879392,-3.203942729556678,0.5700000000000001,25.10772023807457,25.852048310155173,15.400011150712675,15.400011150712675,122.62399116567987,92.4153959574446,62.20680074920934,1053.5678803679987,1233.5611494560399,1413.5544185440813,1032.3667156879465,1413.5544185440813,5.22133143036604,-5.990100600893858,12.0,74.31875000000001,911.278125,Passed.,True,,
20250519_1700_lares2_0800,7817_lares2_crd_20250519_1700_00.fr2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,,W002,20250519_1700_lares2_0800.frd
20250519_0902_jason3_0800,7817_jason3_crd_20250519_0902_00.fr2,20250519_0902_jason3.cpf,7817_jason3_crd_20250519_0902_00.np2,7817_jason3_crd_20250519_0902_00.png,jason3,41240,15,1064.0,las2,det2,tim1,23145,6544,23,284,1.893333333333333,0.381190000190879,2.543025950245081,5.333236489114528,35.57952407938514,0.40314697498532504,2.689507118857044,-2.536315533385471,0.28,26.788645772093574,34.8329049190082,26.788645772093574,29.972456216153876,186.37589018743725,220.9627042960438,255.5495184046503,2351.63235354638,2282.054445001412,2212.476536456444,2039.5248975148359,2351.63235354638,-4.988920934613832,-5.236785651496032,14.667368421052572,58.93421052631578,911.5421052631579,Passed.,False,,
20250519_1758_paz_0800,7817_paz_crd_20250519_1758_00.fr2,20250519_1758_paz.cpf,7817_paz_crd_20250519_1758_00.np2,7817_paz_crd_20250519_1758_00.png,paz,43215,5,1064.0,las2,det2,tim1,24123,14350,53,270,5.4,0.520106576041085,3.4697775888750693,4.908071067316847,32.74312569475545,0.590160143332881,3.937124684656884,-2.511792268183153,0.59,30.26138435906289,63.09595187609774,15.475049038588487,15.475049038588487,7.701570495263027,83.38046922191998,159.05936794857692,922.5956776552621,1169.5819311795292,1416.5681847037963,569.2044490664524,1416.5681847037963,-4.737833913203126,-2.285264029017242,16.108666666666693,44.45333333333333,912.2736666666666,Passed.,True,,
